Sample_ID,Code,Sample_Date,Sample_Time,Gage_Ht,Temp,pH,Cond,Cl,NO3-N,SO4-S,Na,K,Mg,Ca,NH4-N,PO4-P,DOC,DIC,TDN,TDP,SiO2,DON,ChlorideCode,NitrateCode,SulfateCode,SodiumCode,PotassiumCode,MagnesiumCode,CalciumCode,NH4Code,PO4Code,DOCCode,DICCode,TDNCode,SiO2Code,DONCode,TSS,Turbidity
QPB,2223,1989-09-26,NA,NA,21,6.69,74.9,NA,NA,0.97,6.11,0.77,2.22,2.61,NA,NA,NA,NA,NA,NA,11.42,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,2236,1989-10-03,1205,NA,22,7.013,78,NA,24,0.5,7.05,0.72,3.47,4.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2251,1989-10-10,1103,NA,22,6.799,76,8.09,61,0.5,6.37,0.49,3,3.37,NA,NA,NA,NA,NA,NA,36.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2259,1989-10-17,1235,NA,19.5,7.03,91,8.52,87,0.7,6.75,0.59,3.07,3.5,NA,NA,NA,NA,NA,NA,34.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2270,1989-10-24,NA,NA,NA,7.233,93,7.28,239,0.73,7.47,0.93,3.69,4.54,NA,NA,NA,NA,NA,NA,24.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,2303,1989-10-31,1230,NA,22,7.2,90.2,NA,209,0.97,7.03,0.76,3.64,3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2313,1989-11-07,NA,NA,NA,NA,NA,NA,131,1.03,6.54,0.81,2.82,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2330,1989-11-14,1110,NA,22,7.556,76,NA,266,NA,6.15,0.82,2.83,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2357,1989-11-21,NA,NA,NA,NA,NA,NA,134,0.53,6.11,0.63,2.99,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2372,1989-11-28,1250,NA,21,7.206,86,8.76,143,0.53,5.35,0.48,3.29,3.55,NA,NA,NA,NA,NA,NA,28.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2383,1989-12-05,1122,NA,21,7.54,80,8.22,186,0.47,5.29,0.51,3.45,3.88,NA,NA,NA,NA,NA,NA,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2394,1989-12-12,1035,NA,21.5,6.75,64.6,7.22,10,0.37,6.17,0.53,4.52,5.87,NA,NA,NA,NA,NA,NA,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2422,1989-12-19,1135,NA,21,6.91,69.4,NA,180,NA,5.62,0.45,3.81,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2433,1989-12-26,1235,NA,21,7.35,71.9,NA,171,NA,5.61,0.44,3.91,4.6,NA,NA,NA,NA,NA,NA,17.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2444,1990-01-02,1105,NA,21,6.76,78.8,NA,NA,0.53,5.79,1.01,3.09,3.99,NA,NA,NA,NA,NA,NA,21.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2455,1990-01-09,1030,NA,20,6.98,64,NA,181,NA,5.54,0.55,3.26,3.75,NA,NA,NA,NA,NA,NA,12.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2486,1990-01-16,1125,NA,21,6.91,64.9,NA,25,0.69,5.45,0.6,3.38,3.94,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2495,1990-01-23,1110,NA,20,6.97,56,8.52,38,0.8,5.35,0.65,2.69,1.48,NA,NA,NA,NA,0.25,NA,12.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2510,1990-01-30,1110,NA,20,6.82,47.8,7.89,173,0.34,5.35,0.6,2.75,3.26,NA,NA,NA,NA,0.34,NA,13.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2542,1990-02-06,1045,NA,19.5,6.9,87.6,11.3,142,0.29,6.6,0.57,2.85,3.52,NA,NA,NA,NA,0.65,NA,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2553,1990-02-13,1045,NA,20,6.77,77.4,14.66,663,0.5,6.04,0.69,3.12,3.49,NA,NA,NA,NA,0.38,NA,9.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2567,1990-02-20,1235,NA,20,6.77,60.7,10.07,378,0.53,5.05,0.77,2.87,3.25,NA,NA,NA,NA,0.19,NA,8.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2605,1990-02-27,145,NA,20,7.1,60.1,9.61,146,0.33,6.03,0.64,2.97,3.48,NA,NA,NA,NA,NA,NA,8.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,BDL,NA,NA,NA,NA
QPB,2615,1990-03-06,1100,NA,20,7.01,77.8,3.62,130,0.28,6.19,0.6,3.12,3.57,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2626,1990-03-13,1005,NA,20,6.23,46.1,7.36,292,0.74,4.41,1.04,1.09,1.56,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,BDL,NA,NA,NA,NA
QPB,2662,1990-03-20,1150,NA,20,6.97,69.2,8.85,135,0.58,5.84,0.68,2.84,3.13,NA,NA,NA,NA,NA,NA,7.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,BDL,NA,NA,NA,NA
QPB,2673,1990-03-27,NA,NA,NA,NA,NA,9.14,278,0.8,5.68,0.8,2.57,3.1,NA,NA,NA,NA,NA,NA,6.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2740,1990-04-03,1031,NA,NA,7.17,75.6,NA,169,0.58,5.99,0.6,2.98,3.34,NA,NA,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,2941,1990-04-10,1059,NA,21,7.23,81.3,NA,18,0.77,5.41,0.57,3.32,3.56,NA,NA,0.79,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,2995,1990-04-17,1018,NA,NA,7.05,80.3,NA,192,0.93,5.56,0.56,3.14,3.33,NA,NA,2.66,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3006,1990-04-24,NA,NA,NA,NA,NA,NA,153,NA,5.65,0.57,3.24,3.45,NA,NA,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3037,1990-05-01,1037,NA,21,6.86,73,NA,218,NA,5.4,0.62,2.95,3.27,NA,NA,1.71,NA,0.57,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3216,1990-05-08,1012,NA,22,7.05,84.9,8.32,70,0.35,5.75,0.58,3.48,3.76,NA,NA,NA,NA,0.26,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,3226,1990-05-15,1015,NA,21,6.77,62.5,9.05,157,NA,4.96,0.62,2.25,2.6,NA,NA,2.87,NA,0.66,NA,4.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3242,1990-05-22,1001,NA,22,6.97,81.8,NA,126,0.41,NA,0.63,3.17,3.42,NA,NA,0.94,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3349,1990-05-29,1016,NA,23,6.78,84.4,8.35,143,NA,6.02,0.6,3.58,3.68,NA,NA,1.65,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3456,1990-06-05,938,NA,22,6.69,68.1,8.33,215,0.51,5.52,0.61,2.83,3.11,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3470,1990-06-12,1027,NA,22.5,6.91,73.5,7.95,121,0.39,5.62,0.69,2.91,3.32,NA,NA,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3481,1990-06-19,1015,NA,22,7.02,79.7,8.95,132,0.48,5.98,0.61,3.37,3.75,NA,NA,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3492,1990-06-26,1007,NA,22,6.8,55.5,NA,150,0.63,4.99,0.63,2.32,3.21,NA,NA,3.1,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,3503,1990-07-03,1055,NA,22.5,7.03,76.6,8.18,138,0.91,5.91,0.6,3.34,3.63,NA,NA,1.03,NA,0.43,NA,8.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3514,1990-07-10,1026,NA,22,6.78,74.2,9.57,124,NA,5.76,0.61,3.3,3.58,NA,NA,1.09,NA,0.47,NA,8.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3528,1990-07-17,104,NA,23,7.1,85.4,7.73,97,0.69,5.75,0.58,3.3,3.73,NA,NA,3.77,NA,NA,NA,7.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3539,1990-07-24,1045,NA,22,6.71,56.1,NA,169,0.71,4.85,0.58,2.22,2.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3550,1990-07-31,959,NA,22,6.99,76.8,NA,63,0.65,6.09,0.55,3.47,3.82,NA,NA,1.28,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3561,1990-08-07,1055,NA,23,7.12,90.4,NA,133,0.3,6.53,0.57,4.16,5.12,NA,NA,0.99,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3669,1990-08-14,1125,NA,22.5,6.74,58.2,10.28,80,0.36,4.84,0.59,1.98,2.24,NA,NA,2.45,NA,0.3,NA,6.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3680,1990-08-21,1017,NA,23,7,78.4,11.79,116,1.5,5.06,0.55,3.09,3.72,NA,NA,1.54,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,3691,1990-08-28,930,NA,23,6.1,81.1,4.49,79,0.49,6.17,0.54,3.6,4.2,NA,NA,1.24,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3702,1990-09-04,940,NA,23,7.456,73.4,12.02,99,0.85,5.66,0.49,2.94,3.58,NA,NA,2.2,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3713,1990-09-11,1040,NA,24,7.28,77.8,14.27,61,0.75,6.12,0.48,3.4,4.19,NA,NA,1.32,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3724,1990-09-18,1028,NA,24,7.14,65.8,4.69,5,0.68,5.58,0.44,2.91,3.61,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,3995,1990-09-25,905,NA,22.5,7.1,74.5,4.55,68,0.65,5.67,0.49,2.99,3.6,NA,NA,2.97,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,4015,1990-10-02,920,NA,23.5,7.39,78,7.91,69,0.73,5.89,0.46,3.51,4.36,NA,NA,3.15,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,4087,1990-10-09,1025,NA,23,6.96,72.1,8.28,131,0.86,5.36,0.48,2.56,3.29,NA,19,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,4098,1990-10-16,1115,NA,22,7.18,80.2,7.78,67,0.71,5.81,0.48,3.05,3.46,NA,16,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,4174,1990-10-23,1105,NA,22,6.12,69,NA,93,0.71,5.46,0.5,2.79,2.95,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,4314,1990-10-30,1017,NA,23,7.21,63.5,NA,7,0.57,4.75,0.47,2.44,2.57,NA,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,4325,1990-11-06,1020,NA,22.5,7.22,77.8,NA,26,0.57,2.93,0.25,1.86,2.54,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,4336,1990-11-13,1036,NA,22,7.24,78.5,NA,138,0.81,6.43,0.57,4.28,2.01,NA,5,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,4371,1990-11-20,920,NA,22,7.38,80.1,NA,152,0.41,5.97,0.45,3.39,3.5,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,4397,1990-11-27,1219,NA,22,7.17,70.1,NA,119,0.62,5.37,0.48,2.85,3.38,NA,5,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,4408,1990-12-04,1224,NA,23,6.73,63.9,NA,113,0.67,5.56,0.48,0.37,0.25,NA,NA,NA,NA,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,4422,1990-12-11,1042,NA,20.5,7.08,69.2,NA,118,0.8,5.56,0.29,3.01,3.44,NA,NA,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,4492,1990-12-18,1129,NA,21,6.92,68.5,NA,96,0.76,5.36,0.48,2.9,3.34,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,4569,1990-12-25,203,NA,20.5,6.98,82.2,NA,105,0.76,5.62,0.43,3.09,3.55,NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,4581,1990-12-31,1154,NA,20.5,6.71,57.5,NA,86,0.95,4.6,0.62,1.64,1.97,NA,NA,NA,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,4779,1991-01-08,NA,NA,NA,NA,NA,NA,35,0.79,2.9,0.37,0.52,3.03,NA,NA,NA,NA,0.09,NA,8.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,4776,1991-01-15,958,NA,20.5,6.92,71.8,NA,112,1.52,3.3,0.42,2.86,3.46,NA,NA,NA,NA,0.18,NA,8.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,4765,1991-01-22,1151,NA,19,7.19,71.5,NA,NA,NA,3.51,0.35,2.91,3.41,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,4790,1991-01-29,NA,NA,NA,NA,NA,NA,NA,1.82,3.9,0.41,3.25,3.98,NA,57,NA,NA,0.15,NA,8.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,4802,1991-02-05,1130,NA,20,7.44,80.2,NA,95,1.35,3.4,0.42,3.33,3.67,NA,4,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,4814,1991-02-12,1156,NA,20.5,7.24,75.5,NA,28,1.24,3.61,0.44,3.36,4.13,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,4826,1991-02-19,1023,NA,21.5,7.04,58,NA,176,1.86,3.1,0.42,2.18,2.76,NA,4,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,4838,1991-02-26,1111,NA,20.5,6.96,71.8,NA,78,0.81,3.4,0.38,3.24,3.43,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,4850,1991-03-05,1055,NA,20,6.99,67.2,NA,109,0.87,5.48,0.36,3,3.48,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,4862,1991-03-12,1110,NA,19.5,7.02,73,NA,102,0.74,5.64,0.83,3.13,3.7,NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,4874,1991-03-19,915,NA,20,6.63,66.9,NA,148,0.75,6.35,NA,2.8,3.6,NA,6,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,4886,1991-03-26,1100,NA,20,6.88,77.2,NA,103,0.76,5.77,0.37,3.04,3.57,NA,14,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,4948,1991-04-02,1225,NA,20.5,7.3,79.1,NA,173,0.79,6,0.42,3.37,3.91,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,4981,1991-04-09,1120,NA,20,7.01,71.6,NA,98,NA,5.83,0.38,2.73,3.16,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,5055,1991-04-15,930,NA,22,7.02,71.3,NA,126,NA,5.62,0.56,2.53,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,5128,1991-04-23,1131,NA,22,6.93,70.4,NA,88,NA,6.4,0.54,2.75,3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,5208,1991-04-30,1052,NA,21,7.15,79.4,NA,19,NA,6.75,0.48,2.22,2.71,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,5440,1991-05-07,1114,NA,21.5,7.33,71.5,NA,18,NA,5.99,0.44,1.62,3.09,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,5555,1991-05-14,1230,NA,21.5,7.11,72.2,NA,75,0.85,5.49,0.49,1.77,3.08,NA,7,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,6079,1991-05-21,1008,NA,22,7.08,78.5,NA,78,0.85,4.84,0.36,3.14,3.7,NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,6122,1991-05-28,1053,NA,22,6.98,73.1,NA,14,0.84,6.12,0.44,3.14,3.86,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BDL,NA,NA,NA,NA,NA,NA,NA
QPB,6164,1991-06-04,1036,NA,23,7.01,79.7,NA,36,NA,6.59,0.47,1.79,3.08,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPB,6277,1991-06-11,1140,NA,22,7.06,79.5,8.03,95,NA,5.97,0.6,0.73,3.48,NA,9,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
