Code,Sample_ID,Sample_Date,Sample_Time,Gage_Ht,Temp,pH,Cond,Turbidity,PR_Remarks
1370,QS,3/7/1989,850,3.46,19,6.71,52.6,NA,
1371,Q1,3/7/1989,927,9.72,NA,7.49,91.8,NA,
1372,Q2,3/7/1989,846,0.08,NA,7.28,87.2,NA,
1373,Q3,3/7/1989,900,4.44,NA,7.38,82.9,NA,
1377,Q1,3/9/1989,NA,NA,NA,NA,NA,NA,
1378,Q2,3/9/1989,NA,NA,NA,NA,NA,NA,
1379,Q3,3/9/1989,NA,NA,NA,NA,NA,NA,
1390,QS,3/14/1989,940,3.74,19,6.81,46,NA,
1391,Q1,3/14/1989,916,9.72,NA,7.34,86.2,NA,
1392,Q2,3/14/1989,851,0.08,NA,7.27,81.6,NA,
1393,Q3,3/14/1989,902,4.46,NA,7.05,75.1,NA,
1397,QS,3/21/1989,840,3.42,18.5,6.77,48.2,NA,
1398,Q1,3/21/1989,923,9.72,NA,7.25,91.1,NA,
1399,Q2,3/21/1989,930,0.0955,NA,7.16,87,NA,
1400,Q3,3/21/1989,930,4.44,NA,7.4,81.2,NA,
1404,QS,3/28/1989,930,3.22,19,6.72,50.9,NA,
1405,Q1,3/28/1989,929,9.72,NA,7.25,91.2,NA,
1406,Q2,3/28/1989,903,0.08,NA,7.35,87.3,NA,
1407,Q3,3/28/1989,917,4.44,NA,7.18,82.5,NA,
1443,QS,4/4/1989,900,3.34,19,6.65,43.2,NA,
1444,Q1,4/4/1989,953,9.7,NA,7.21,91.2,NA,
1445,Q2,4/4/1989,915,0.08,NA,7.35,85.7,NA,
1446,Q3,4/4/1989,915,4.44,NA,7.31,79.9,NA,
1459,QS,4/11/1989,920,3.4,19,6.72,44.4,NA,
1460,Q1,4/11/1989,853,9.74,NA,7.09,83,NA,
1461,Q2,4/11/1989,827,0.08,NA,7.23,80.1,NA,
1462,Q3,4/11/1989,839,4.48,NA,7.21,76.3,NA,
1467,QS,4/18/1989,1035,NA,19,6.7,48.7,NA,
1468,Q1,4/18/1989,928,9.7,NA,7.22,92.5,NA,
1469,Q2,4/18/1989,849,0.1,NA,7.25,88.2,NA,
1470,Q3,4/18/1989,849,4.42,NA,7.14,84,NA,
1482,Q1,3/14/1989,1202,9.9,NA,NA,NA,NA,"only anions, NO3=0 removed by DAS 5/94"
1483,Q2,3/14/1989,1158,0.29,NA,NA,NA,NA,only anions
1497,QS,4/25/1989,920,2.82,21,6.63,53.3,NA,
1498,Q1,4/25/1989,921,9.72,NA,7.35,95.8,NA,
1499,Q2,4/25/1989,843,0.08,NA,7.22,91,NA,
1500,Q3,4/25/1989,907,4.42,NA,6.97,88.1,NA,
1504,QS,5/2/1989,900,3.25,21,6.78,49.8,NA,
1505,Q1,5/2/1989,919,9.7,NA,7.42,92.9,NA,
1506,Q2,5/2/1989,840,0.08,NA,7.34,89.3,NA,
1507,Q3,5/2/1989,852,4.4,NA,7.27,86.5,NA,
1512,Q1,5/9/1989,905,9.72,NA,7.16,89.8,NA,
1513,Q2,5/9/1989,835,0.08,NA,7.23,87.4,NA,
1514,Q3,5/9/1989,850,4.44,NA,7.35,76.4,NA,
1515,QS,5/9/1989,1130,2.9,20.5,6.8,NA,NA,
1519,QS,5/16/1989,845,2.8,22,6.56,54,NA,
1520,Q1,5/16/1989,854,9.72,NA,7.33,109,NA,
1521,Q2,5/16/1989,829,0.06,NA,7.35,101,NA,
1522,Q3,5/16/1989,837,4.42,NA,7.38,100,NA,
1526,MPR,5/16/1989,933,1.78,NA,7.08,108,NA,
1535,QS,5/23/1989,915,2.6,21,6.6,43.3,NA,
1536,Q1,5/23/1989,925,9.74,NA,7.06,78.5,NA,
1537,Q2,5/23/1989,852,0.04,NA,7.13,75.1,NA,
1538,Q3,5/23/1989,907,4.4,NA,6.95,74.9,NA,
1539,MPR,5/23/1989,1005,1.9,NA,7.45,92.8,NA,
1563,QS,5/30/1989,NA,NA,NA,6.52,37.5,NA,blank gage datum
1564,Q1,5/30/1989,859,9.76,NA,7.04,79.8,NA,
1565,Q2,5/30/1989,833,0.06,NA,6.97,76,NA,
1566,Q3,5/30/1989,845,4.42,NA,7.11,72.3,NA,
1570,MPR,5/30/1989,1034,2.76,NA,7.19,68.6,NA,
1574,QS,6/6/1989,900,3.58,21,7.35,37.9,NA,
1577,QPA,6/6/1989,NA,NA,21,6.79,49.4,NA,
1578,QPB,6/6/1989,NA,NA,21,7.09,61.3,NA,
1579,Q1,6/6/1989,851,9.76,NA,7.27,143.1,NA,
1580,Q2,6/6/1989,835,0.12,NA,7.13,72.4,NA,
1581,Q3,6/6/1989,842,4.48,NA,7.18,109,NA,
1582,MPR,6/6/1989,1110,2.42,NA,7.54,72.6,NA,
1598,QS,6/13/1989,1033,3.25,17.5,7.06,43.3,NA,
1599,MPR,6/13/1989,1000,2.13,NA,7.34,85,NA,
1600,Q1,6/13/1989,928,9.76,NA,7.13,84.3,NA,
1601,Q2,6/13/1989,844,0.08,NA,7.18,77.2,NA,
1602,Q3,6/13/1989,903,4.44,NA,6.91,74.4,NA,
1603,QPA,6/13/1989,1055,NA,NA,7.2,70.5,NA,
1605,QPB,6/13/1989,1108,NA,NA,6.92,61.3,NA,
1649,QS,6/20/1989,920,3.36,21.5,6.74,40.8,NA,
1650,Q1,6/20/1989,921,9.78,NA,7.42,81.4,NA,
1651,Q2,6/20/1989,852,0.08,NA,7.41,78,NA,
1652,Q3,6/20/1989,909,4.42,NA,7.39,72,NA,
1657,MPR,6/20/1989,1010,2.18,NA,7.67,81.3,NA,
1658,QPA,6/20/1989,940,NA,21.5,6.83,59.3,NA,
1659,QPB,6/20/1989,945,NA,21.5,7.03,72.8,NA,
1682,QS,6/27/1989,908,3.18,22,7.14,46.6,NA,
1683,Q1,6/27/1989,911,9.74,NA,7.46,81.5,NA,
1684,Q2,6/27/1989,840,0.08,NA,7.36,75.7,NA,
1685,Q3,6/27/1989,852,4.44,NA,7.38,72.7,NA,
1687,MPR,6/27/1989,957,1.83,NA,7.47,84.7,NA,
1690,QPA,6/27/1989,925,NA,22,7.07,77,NA,
1691,QPB,6/27/1989,932,NA,22,7.08,64.9,NA,
1694,Q1,7/5/1989,956,9.86,NA,6.48,39.6,NA,NO3=0 removed by DAS 5/94
1695,Q2,7/5/1989,929,0.28,NA,6.95,40.8,NA,
1696,Q3,7/5/1989,946,4.84,NA,6.74,40,NA,NO3=0 removed by DAS 5/94
1697,MPR,7/5/1989,NA,NA,NA,6.94,39.2,NA,NO3=0 removed by DAS 5/94
1698,QPA,7/5/1989,NA,NA,NA,7,65.2,NA,NO3=0 removed by DAS 5/94
1699,QPB,7/5/1989,NA,NA,NA,6.9,53.2,NA,NO3=0 removed by DAS 5/94
1702,QS,7/5/1989,NA,NA,NA,6.75,38,NA,blank gage datum
1983,Q2,7/11/1989,907,0.12,NA,7.11,72.2,NA,
1985,QPA,7/11/1989,NA,NA,NA,7.12,69.4,NA,
1986,MPR,7/11/1989,1032,1.64,NA,7.33,76.3,NA,
1987,Q3,7/11/1989,917,4.48,NA,7.22,68.8,NA,
1988,QPB,7/11/1989,NA,NA,NA,6.89,57.1,NA,
1991,QS,7/11/1989,1211,3.45,22,7.33,40.6,NA,
1993,Q1,7/11/1989,925,9.72,NA,6.95,69,NA,
2031,Q1,7/18/1989,904,9.73,NA,7.14,78.6,NA,
2032,Q2,7/18/1989,908,0.09,NA,6.99,72.7,NA,
2033,Q3,7/18/1989,850,4.47,NA,6.77,66.3,NA,NO3=0 removed by DAS 5/94
2034,QS,7/18/1989,930,3.76,21.5,6.93,36.5,NA,
2035,QPA,7/18/1989,947,NA,22,7.15,64.1,NA,
2036,QPB,7/18/1989,941,NA,21.5,6.68,59.6,NA,
2054,QPB,7/26/1989,NA,NA,NA,6.95,55.7,NA,
2055,QS,7/26/1989,1200,3.48,22,7.12,41.1,NA,
2059,QPA,7/26/1989,NA,NA,NA,7.19,65,NA,NO3=0 removed by DAS 5/94
2060,Q1,7/26/1989,NA,NA,NA,7.28,77.9,NA,blank gage datum
2061,Q2,7/26/1989,NA,NA,NA,7.25,74.1,NA,blank gage datum
2062,Q3,7/26/1989,NA,NA,NA,6.99,68.3,NA,blank gage datum
2063,MPR,7/26/1989,NA,NA,NA,7.17,69.5,NA,NO3=0 removed by DAS 5/94
2110,QPB,8/1/1989,NA,NA,NA,6.78,48.9,NA,
2111,Q2,8/1/1989,933,0.1,NA,7.1,70.9,NA,
2113,MPR,8/1/1989,1101,2.46,NA,7.18,76.1,NA,
2115,QPA,8/1/1989,NA,NA,NA,6.82,56.9,NA,
2116,Q3,8/1/1989,924,4.46,NA,7.15,66.8,NA,
2118,Q1,8/1/1989,956,9.72,NA,6.86,74.8,NA,
2120,QS,8/1/1989,1215,3.82,22,6.53,36.9,NA,
2122,QS,8/8/1989,1300,3.26,22,6.92,41.7,NA,
2123,Q1,8/8/1989,858,9.74,NA,7.27,85.5,NA,
2124,Q2,8/8/1989,843,0.08,NA,7.31,58.8,NA,
2125,Q3,8/8/1989,850,4.44,NA,7.17,74.9,NA,
2126,QPA,8/8/1989,1100,NA,22,7.23,74.2,NA,
2127,QPB,8/8/1989,1115,NA,22,7.27,63.8,NA,
2132,MPR,8/8/1989,1120,2.2,NA,7.03,74.3,NA,
2133,QS,8/15/1989,1100,3.46,22,7.09,39.2,NA,
2134,Q1,8/15/1989,910,NA,NA,7.28,79.8,NA,
2135,Q2,8/15/1989,931,NA,NA,7.25,74.2,NA,
2136,Q3,8/15/1989,920,4.42,NA,7.27,70.6,NA,
2140,QPA,8/15/1989,1125,NA,22,6.88,68.9,NA,
2141,QPB,8/15/1989,1115,NA,22,6.62,58.7,NA,
2143,MPR,8/15/1989,1029,10.46,NA,6.91,76,NA,
2144,QS,8/22/1989,1015,4.24,21.5,6.42,47.2,NA,
2145,Q1,8/22/1989,954,9.8,NA,7.02,43.8,NA,
2146,Q2,8/22/1989,935,0.2,NA,7.15,41.5,NA,
2147,Q3,8/22/1989,942,4.68,NA,6.63,40.9,NA,
2152,MPR,8/22/1989,1025,3,NA,7.31,69.1,NA,
2153,QPA,8/22/1989,1050,NA,21.5,6.76,62.3,NA,
2154,QPB,8/22/1989,1115,NA,21.5,7,65.6,NA,NO3=0 removed by DAS 5/94
2156,QS,8/29/1989,1115,4.9,21,6.3,29.9,NA,
2157,Q1,8/29/1989,916,9.76,NA,6.88,76.6,NA,
2158,Q2,8/29/1989,851,0.12,NA,7.17,72.5,NA,
2159,Q3,8/29/1989,904,4.5,NA,7.25,61.5,NA,
2162,QPA,8/29/1989,1005,NA,21,6.63,49.3,NA,
2163,QPB,8/29/1989,959,NA,21,6.9,44.7,NA,
2165,MPR,8/29/1989,1025,2.38,NA,6.66,57,NA,
2192,QS,9/5/1989,1020,3.46,23,6.68,33.4,NA,
2193,Q1,9/5/1989,851,9.75,NA,6.9,79.6,NA,
2194,Q2,9/5/1989,832,0.1,NA,7.03,78.2,NA,
2195,Q3,9/5/1989,841,4.47,NA,6.69,69.3,NA,
2201,QPA,9/5/1989,921,NA,22,7.11,66.4,NA,
2202,QPB,9/5/1989,915,NA,22,6.56,56.4,NA,
2203,QS,9/12/1989,950,4.45,22,7.03,42.7,NA,
2204,Q1,9/12/1989,941,9.74,NA,7.29,104.8,NA,
2205,Q2,9/12/1989,905,0.08,NA,7.2,97.2,NA,
2206,Q3,9/12/1989,920,4.46,NA,6.89,131.6,NA,
2209,MPR,9/12/1989,1017,2.3,NA,7.27,79.5,NA,
2213,QPA,9/12/1989,920,NA,21,6.63,72.9,NA,
2214,QPB,9/12/1989,926,NA,21,6.89,59.5,NA,
2215,Q1,9/26/1989,1115,9.8,NA,NA,NA,NA,
2216,Q2,9/26/1989,1201,0.58,NA,NA,NA,NA,
2217,Q3,9/26/1989,1316,4.74,NA,NA,NA,NA,
2218,QS,9/26/1989,NA,3.9,21,6.61,56.6,NA,
2219,Q3,9/26/1989,1142,4.72,NA,NA,NA,NA,
2220,Q1,9/26/1989,1351,9.81,NA,NA,NA,NA,
2221,Q2,9/26/1989,1339,0.56,NA,NA,NA,NA,
2222,QPA,9/26/1989,NA,NA,21,6.81,97.4,NA,
2223,QPB,9/26/1989,NA,NA,21,6.69,74.9,NA,
2224,Q1,9/22/1989,1400,9,NA,NA,NA,NA,
2225,Q2,9/22/1989,1356,0.59,NA,NA,NA,NA,
2226,Q3,9/22/1989,1327,4.68,NA,NA,NA,NA,
2227,QS,10/3/1989,1439,3.54,22,7.09,48,NA,
2228,Q1,10/3/1989,903,9.76,NA,7.431,78,NA,
2229,Q2,10/3/1989,918,0.54,NA,7.096,81,NA,
2230,Q3,10/3/1989,933,4.4,NA,6.972,77,NA,
2232,MPR,10/3/1989,NA,NA,NA,7.185,82,NA,
2235,QPA,10/3/1989,1200,NA,22,7.053,62,NA,
2236,QPB,10/3/1989,1205,NA,22,7.013,78,NA,
2237,QT,10/5/1989,1430,NA,NA,7.379,86.5,NA,only Na & K
2238,Q1,10/5/1989,1441,9.76,NA,7.414,100,NA,only Na & K
2239,Q2,10/5/1989,1433,0.56,NA,7.273,81.5,NA,only Na & K
2240,Q3,10/5/1989,1428,4.595,NA,7.219,83.5,NA,only Na & K
2241,QS,10/10/1989,1150,3.42,22,6.996,59,NA,
2242,Q1,10/10/1989,923,9.76,NA,7.219,94,NA,
2243,Q2,10/10/1989,941,0.56,NA,7.33,98,NA,
2244,Q3,10/10/1989,941,4.56,NA,7.005,90,NA,
2245,QT,10/10/1989,1332,1.27,24,7.293,104,NA,
2247,MPR,10/10/1989,1044,0.88,NA,7.034,102,NA,
2250,QPA,10/10/1989,1113,NA,22,7.148,90.2,NA,
2251,QPB,10/10/1989,1103,NA,22,6.799,76,NA,
2252,QS,10/17/1989,1155,3.38,19.5,7.358,NA,NA,
2253,Q1,10/17/1989,918,9.74,NA,7.517,113.5,NA,
2254,Q2,10/17/1989,931,0.08,NA,7.468,112,NA,
2255,Q3,10/17/1989,946,4.56,NA,7.576,111,NA,
2256,QT,10/17/1989,1510,1.26,20,7.71,126,NA,
2258,QPA,10/17/1989,1248,NA,19.5,7.599,116,NA,
2259,QPB,10/17/1989,1235,NA,19.5,7.03,91,NA,
2262,QS,10/24/1989,NA,NA,NA,6.953,63.5,NA,blank gage datum
2263,Q1,10/24/1989,1000,9.74,NA,7.329,91,NA,
2264,Q2,10/24/1989,918,0.08,NA,6.943,95,NA,
2265,Q3,10/24/1989,949,4.54,NA,7.292,100,NA,
2266,QT,10/24/1989,NA,NA,NA,7.085,99,NA,blank gage datum
2268,MPR,10/24/1989,NA,NA,NA,6.93,125,NA,
2269,QPA,10/24/1989,NA,NA,NA,6.722,75,NA,
2270,QPB,10/24/1989,NA,NA,NA,7.233,93,NA,
2296,QS,10/31/1989,1312,3.18,22,7.09,67,NA,
2297,Q1,10/31/1989,NA,NA,NA,7.038,100.3,NA,blank gage datum
2298,Q2,10/31/1989,NA,NA,NA,7.193,110.2,NA,blank gage datum
2299,Q3,10/31/1989,NA,NA,NA,7.259,110.4,NA,blank gage datum
2300,QT,10/31/1989,1425,1.26,24,7.602,110.1,NA,
2302,QPA,10/31/1989,1340,NA,22,7.166,100.1,NA,
2303,QPB,10/31/1989,1230,NA,22,7.2,90.2,NA,
2306,QS,11/7/1989,NA,NA,NA,NA,NA,NA,blank gage datum
2307,Q1,11/7/1989,954,NA,NA,NA,NA,NA,blank gage datum
2308,Q2,11/7/1989,927,NA,NA,NA,NA,NA,blank gage datum
2309,Q3,11/7/1989,939,NA,NA,NA,NA,NA,blank gage datum
2310,QT,11/7/1989,NA,NA,NA,NA,NA,NA,blank gage datum
2312,QPA,11/7/1989,NA,NA,NA,NA,NA,NA,
2313,QPB,11/7/1989,NA,NA,NA,NA,NA,NA,
2316,MPR,11/7/1989,1029,NA,NA,NA,NA,NA,
2317,Q1,11/8/1989,1210,NA,NA,7.003,104,NA,blank gage datum
2318,Q2,11/8/1989,1200,0.15,NA,7.077,103.9,NA,
2319,Q3,11/8/1989,1200,4.72,NA,6.917,108,NA,
2320,Q1,9/20/1989,1207,9.885,NA,NA,NA,NA,only sediments
2321,Q2,9/20/1989,1045,0.62,NA,NA,NA,NA,only sediments
2322,Q3,9/20/1989,1115,4.72,NA,NA,NA,NA,only sediments
2323,QS,11/14/1989,1035,3.6,21,6.584,62,NA,
2324,Q1,11/14/1989,908,9.74,NA,7.545,100,NA,
2325,Q2,11/14/1989,920,0.12,NA,7.015,105,NA,
2326,Q3,11/14/1989,1104,NA,NA,7.236,100,NA,
2327,QT,11/14/1989,1310,1.28,23,7.67,120,NA,
2329,QPA,11/14/1989,1120,NA,22,7.322,97.5,NA,
2330,QPB,11/14/1989,1110,NA,22,7.556,76,NA,
2333,MPR,11/14/1989,1109,1.2,NA,7.828,98,NA,
2350,QS,11/21/1989,NA,NA,NA,NA,NA,NA,blank gage datum
2351,Q1,11/21/1989,956,9.74,NA,NA,NA,NA,
2352,Q2,11/21/1989,920,0.1,NA,NA,NA,NA,
2353,Q3,11/21/1989,910,4.46,NA,NA,NA,NA,
2355,QT,11/21/1989,NA,NA,NA,NA,NA,NA,blank gage datum
2356,QPA,11/21/1989,NA,NA,NA,NA,NA,NA,
2357,QPB,11/21/1989,NA,NA,NA,NA,NA,NA,
2360,MPR,11/21/1989,1132,0.58,NA,NA,NA,NA,
2365,QS,11/28/1989,1320,3,21,7.102,73,NA,
2366,Q1,11/28/1989,853,9.74,NA,7.315,110.1,NA,
2367,Q2,11/28/1989,912,0.12,NA,7.125,114,NA,
2368,Q3,11/28/1989,931,4.46,NA,7.22,107,NA,
2369,QT,11/28/1989,1129,1.27,22,7.64,134,NA,
2371,QPA,11/28/1989,1300,NA,21,7.727,112,NA,
2372,QPB,11/28/1989,1250,NA,21,7.206,86,NA,
2373,MPR,11/28/1989,1009,0.82,NA,7.445,127,NA,
2376,QS,12/5/1989,1032,2.78,20,7.29,63.5,NA,
2377,Q1,12/5/1989,914,9.74,NA,7.243,98,NA,
2378,Q2,12/5/1989,858,0.08,NA,7.617,92,NA,
2379,Q3,12/5/1989,932,4.4,NA,7.468,86,NA,
2380,QT,12/5/1989,1250,1.25,22,7.772,110.3,NA,
2382,QPA,12/5/1989,1135,NA,21,7.74,97,NA,
2383,QPB,12/5/1989,1122,NA,21,7.54,80,NA,
2384,MPR,12/5/1989,1008,0.7,NA,7.316,108,NA,NO3=0 removed by DAS 5/94
2387,QS,12/12/1989,1050,3.18,21.5,6.14,47.8,NA,
2388,Q1,12/12/1989,956,9.74,NA,7.04,81.8,NA,
2389,Q2,12/12/1989,920,0.1,NA,6.78,84.5,NA,
2390,Q3,12/12/1989,910,4.46,NA,6.74,80.8,NA,NO3=0 removed by DAS 5/94
2391,QT,12/12/1989,1210,1.27,23,7.02,92.8,NA,
2393,QPA,12/12/1989,1025,NA,21.5,6.65,78.2,NA,NO3=0 removed by DAS 5/94
2394,QPB,12/12/1989,1035,NA,21.5,6.75,64.6,NA,NO3=0 removed by DAS 5/94
2395,MPR,12/12/1989,1132,0.58,NA,7.03,85,NA,
2415,QS,12/19/1989,12,2.3,21,6.35,48.9,NA,
2416,Q1,12/19/1989,923,9.7,NA,7.01,81.2,NA,
2417,Q2,12/19/1989,903,0.08,NA,7.22,81.4,NA,
2418,Q3,12/19/1989,937,4.32,NA,7.25,79.7,NA,
2419,QT,12/19/1989,950,1.26,21.5,6.58,97.8,NA,
2421,QPA,12/19/1989,1130,NA,21,6.81,84.1,NA,
2422,QPB,12/19/1989,1135,NA,21,6.91,69.4,NA,
2423,MPR,12/19/1989,NA,NA,NA,NA,NA,NA,
2426,QS,12/26/1989,1215,2.26,21,7.29,51.3,NA,
2427,Q1,12/26/1989,915,9.72,NA,6.71,81.8,NA,
2428,Q2,12/26/1989,911,0.02,NA,6.93,81.4,NA,
2429,Q3,12/26/1989,902,4.24,NA,6.92,78.3,NA,
2430,QT,12/26/1989,1201,1.26,22,6.69,99.5,NA,
2432,QPA,12/26/1989,1230,NA,21,7.3,86.2,NA,
2433,QPB,12/26/1989,1235,NA,21,7.35,71.9,NA,
2434,MPR,12/26/1989,1005,0.58,NA,7.36,97.2,NA,
2437,QS,1/2/1990,1120,3.86,21,6.66,58.8,NA,
2438,Q1,1/2/1990,936,9.76,NA,6.78,97.3,NA,
2439,Q2,1/2/1990,920,0.12,NA,6.49,100,NA,
2440,Q3,1/2/1990,1004,4.66,NA,6.78,102.1,NA,
2441,QT,1/2/1990,1001,1.31,22,6.7,89.9,NA,
2443,QPA,1/2/1990,1110,NA,21,6.76,60.6,NA,
2444,QPB,1/2/1990,1105,NA,21,6.76,78.8,NA,
2445,MPR,1/2/1990,1037,1.79,NA,6.88,110.6,NA,
2448,QS,1/9/1990,1015,2.9,19,6.5,49.2,NA,
2449,Q1,1/9/1990,916,9.68,NA,7.22,81,NA,
2450,Q2,1/9/1990,906,0.06,NA,7.29,78.2,NA,
2451,Q3,1/9/1990,930,4.44,NA,7.25,79.6,NA,
2452,QT,1/9/1990,1045,1.23,20,6.93,95.5,NA,
2454,QPA,1/9/1990,1035,NA,20,7.06,77.9,NA,
2455,QPB,1/9/1990,1030,NA,20,6.98,64,NA,
2456,MPR,1/9/1990,1021,0.7,NA,7.41,91.1,NA,
2477,QT,1/16/1990,1230,1.3,22,7.26,98.3,NA,
2478,QS,1/16/1990,1105,3.34,20,6.36,52.5,NA,
2479,Q1,1/16/1990,930,9.7,NA,6.96,80.7,NA,
2480,Q2,1/16/1990,921,0.08,NA,7.04,79.2,NA,
2481,Q3,1/16/1990,957,4.44,NA,6.7,79,NA,
2482,MPR,1/16/1990,1016,1.18,NA,7.1,88,NA,
2485,QPA,1/16/1990,1120,NA,21,6.77,77.8,NA,
2486,QPB,1/16/1990,1125,NA,21,6.91,64.9,NA,
2488,QS,1/23/1990,1130,3.27,19.5,6.71,44.7,NA,
2489,Q1,1/23/1990,918,9.7,NA,6.69,78.2,NA,
2490,Q2,1/23/1990,912,0.08,NA,6.93,76.8,NA,
2491,Q3,1/23/1990,934,4.44,NA,7.08,77.3,NA,
2493,QT,1/23/1990,1010,1.25,20.5,6.73,80.2,NA,
2494,QPA,1/23/1990,1115,NA,20,6.97,68.7,NA,
2495,QPB,1/23/1990,1110,NA,20,6.97,56,NA,
2496,MPR,1/23/1990,957,1.76,NA,7.23,78.2,NA,
